DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,10277726,0,8164914,574692,0,0,1133133,55391,chubu,35.17022842,136.9136655
2019/5/1,10006584,0,7535545,796787,0,0,1303081,35840,chubu,35.17022842,136.9136655
2019/6/1,10469110,0,8074298,971825,0,0,1012994,30757,chubu,35.17022842,136.9136655
2019/7/1,11837745,0,9135941,1386722,0,0,841577,21510,chubu,35.17022842,136.9136655
2019/8/1,12422299,0,10077870,1265247,0,0,1106956,27510,chubu,35.17022842,136.9136655
2019/9/1,11594753,0,9778094,968307,0,0,962951,32297,chubu,35.17022842,136.9136655
2019/10/1,10456171,0,8344910,1031500,0,0,710596,48140,chubu,35.17022842,136.9136655
2019/11/1,10278030,0,8284714,734618,0,0,825738,45118,chubu,35.17022842,136.9136655
2019/12/1,11456472,0,10211113,657329,0,0,636476,48500,chubu,35.17022842,136.9136655
2020/1/1,11746264,0,10227696,611050,0,0,694399,64421,chubu,35.17022842,136.9136655
2020/2/1,11484744,0,9596508,624898,0,0,864521,60648,chubu,35.17022842,136.9136655
2020/3/1,11211431,0,8936819,784718,0,0,1085374,59754,chubu,35.17022842,136.9136655
2020/4/1,9728586,0,6865613,1027396,0,0,1350749,60531,chubu,35.17022842,136.9136655
2020/5/1,8677416,0,5698359,991252,0,0,1319445,30233,chubu,35.17022842,136.9136655
2020/6/1,9874236,0,7275601,1102070,0,0,1103466,28891,chubu,35.17022842,136.9136655
2020/7/1,11010947,0,8008190,1186329,0,0,779398,30213,chubu,35.17022842,136.9136655
2020/8/1,12459817,0,9703471,1053805,0,0,1424179,16940,chubu,35.17022842,136.9136655
2020/9/1,11165534,0,8585055,873431,0,0,932885,27705,chubu,35.17022842,136.9136655
2020/10/1,10244133,0,7980757,905198,0,0,885661,38011,chubu,35.17022842,136.9136655
2020/11/1,10215320,0,8721853,545753,0,0,876510,43375,chubu,35.17022842,136.9136655
2020/12/1,11969896,0,11033323,437039,0,0,830664,64310,chubu,35.17022842,136.9136655
2021/1/1,12606029,0,11684154,355210,0,0,813546,80533,chubu,35.17022842,136.9136655
2021/2/1,11179102,0,9728816,386439,0,0,1008060,70963,chubu,35.17022842,136.9136655
2021/3/1,11171701,0,8855340,884940,0,0,1161334,61028,chubu,35.17022842,136.9136655
2021/4/1,9971446,0,7453355,1029642,0,0,1378918,48601,chubu,35.17022842,136.9136655
2021/5/1,9622684,0,6600107,1264772,0,0,1172157,38413,chubu,35.17022842,136.9136655
2021/6/1,9273917,0,6939436,734447,0,0,1260937,42005,chubu,35.17022842,136.9136655
2021/7/1,12270678,0,8520245,1225422,0,0,1282959,21314,chubu,35.17022842,136.9136655
2021/8/1,11801131,0,8217058,1202192,0,0,1134149,33262,chubu,35.17022842,136.9136655
2021/9/1,10604757,0,6748054,1238908,100,140811,937652,35629,chubu,35.17022842,136.9136655
2021/10/1,10353533,0,6783086,751208,99,133700,1089881,46657,chubu,35.17022842,136.9136655
2021/11/1,10479389,0,7746889,449628,63,166418,977352,62068,chubu,35.17022842,136.9136655
2021/12/1,12116685,0,8276136,636963,79,146612,857343,92442,chubu,35.17022842,136.9136655
2022/1/1,12955780,0,9974944,463422,92,163857,948283,101558,chubu,35.17022842,136.9136655
2022/2/1,12042500,0,9509964,293791,70,146217,995202,85600,chubu,35.17022842,136.9136655
2022/3/1,11387196,0,8387754,670133,56,174304,1266441,70103,chubu,35.17022842,136.9136655
2022/4/1,9777423,0,6810235,961732,71,104733,1300270,45599,chubu,35.17022842,136.9136655
2022/5/1,9507517,0,6354531,1127651,57,117100,1438754,41279,chubu,35.17022842,136.9136655
2022/6/1,10701712,0,7666676,837928,52,154468,1397354,36492,chubu,35.17022842,136.9136655
2022/7/1,12076656,0,8695763,1093721,118,151734,1320474,21659,chubu,35.17022842,136.9136655
2022/8/1,12107808,0,8763215,1150434,94,159903,1259796,24752,chubu,35.17022842,136.9136655
2022/9/1,11388297,0,8087725,1310595,65,145046,1132026,51677,chubu,35.17022842,136.9136655
2022/10/1,10002204,0,7258685,913167,70,128989,1092631,38187,chubu,35.17022842,136.9136655
2022/11/1,10014391,0,7493638,501365,54,157867,963302,53856,chubu,35.17022842,136.9136655
2022/12/1,11849850,0,8550329,550488,48,162095,934342,103788,chubu,35.17022842,136.9136655
2023/1/1,12072126,0,9263826,501635,97,138835,965812,84457,chubu,35.17022842,136.9136655
2023/2/1,11044797,0,8331932,508173,1109,146903,1069125,74492,chubu,35.17022842,136.9136655
2023/3/1,10395226,0,6456340,809935,1202,170390,1404205,50492,chubu,35.17022842,136.9136655
2023/4/1,9321880,0,5374259,1002478,1202,111906,1475441,56777,chubu,35.17022842,136.9136655
2023/5/1,9319820,0,5007980,1253594,1289,164182,1642609,40920,chubu,35.17022842,136.9136655
2023/6/1,10156685,0,6183393,1266027,1146,100313,1255801,33600,chubu,35.17022842,136.9136655
2023/7/1,12192757,0,7550459,1204840,1448,162494,1685344,21934,chubu,35.17022842,136.9136655
2023/8/1,12188702,0,8061165,975461,1092,158661,1537932,43611,chubu,35.17022842,136.9136655
2023/9/1,11490627,0,8064971,676791,1366,157277,1295761,22097,chubu,35.17022842,136.9136655
2023/10/1,9775295,0,6514405,603736,1473,145980,1293390,53515,chubu,35.17022842,136.9136655
2019/4/1,4539790,0,2890168,244716,0,79584,576403,38713,chugoku,34.38886513,132.4557913
2019/5/1,4325520,0,2800308,175511,0,104979,678496,32252,chugoku,34.38886513,132.4557913
2019/6/1,4528705,0,3014189,188674,0,97479,593364,26479,chugoku,34.38886513,132.4557913
2019/7/1,5208107,0,3435300,305652,0,144727,512042,25705,chugoku,34.38886513,132.4557913
2019/8/1,5481295,0,3595636,262283,0,161895,542297,24764,chugoku,34.38886513,132.4557913
2019/9/1,5034661,0,3108585,298334,0,188775,530187,31344,chugoku,34.38886513,132.4557913
2019/10/1,4674230,0,2934745,228976,0,209972,450838,35490,chugoku,34.38886513,132.4557913
2019/11/1,4746400,0,2874029,131226,0,196821,426179,41623,chugoku,34.38886513,132.4557913
2019/12/1,5498903,0,3556614,127632,0,164307,339734,46468,chugoku,34.38886513,132.4557913
2020/1/1,5519073,0,3637294,207801,0,166168,368435,49949,chugoku,34.38886513,132.4557913
2020/2/1,5282337,0,3277100,255494,0,159733,443979,43483,chugoku,34.38886513,132.4557913
2020/3/1,5013885,0,2859570,356331,0,149359,585277,44442,chugoku,34.38886513,132.4557913
2020/4/1,4426955,0,2742231,405258,0,144181,692590,42537,chugoku,34.38886513,132.4557913
2020/5/1,3933877,0,2467743,230521,0,166224,703744,38607,chugoku,34.38886513,132.4557913
2020/6/1,4358486,0,2918732,326333,0,108616,627204,29964,chugoku,34.38886513,132.4557913
2020/7/1,4851403,0,3362319,492876,0,147398,482702,28454,chugoku,34.38886513,132.4557913
2020/8/1,5593663,0,3841079,244728,0,176865,757719,27362,chugoku,34.38886513,132.4557913
2020/9/1,4785247,0,3509544,228149,0,159395,552704,27150,chugoku,34.38886513,132.4557913
2020/10/1,4467667,0,2954139,160733,0,150834,552310,27553,chugoku,34.38886513,132.4557913
2020/11/1,4570466,0,3480749,104506,0,138474,439572,32798,chugoku,34.38886513,132.4557913
2020/12/1,5609365,0,4447014,105379,0,146703,365500,48137,chugoku,34.38886513,132.4557913
2021/1/1,5926248,0,4538093,223203,0,162151,379027,60291,chugoku,34.38886513,132.4557913
